,hhidpn,ragender
319,11902020,2.female
320,11902030,1.male
321,11902031,2.female
322,11907010,1.male
323,11907020,2.female
324,11911010,1.male
325,11911040,2.female
326,11927010,2.female
327,11929020,2.female
328,11930010,1.male
329,11930040,2.female
330,11932020,2.female
331,11932030,1.male
332,11933010,2.female
333,11933040,1.male
334,11936010,1.male
335,11936011,2.female
336,11936012,2.female
337,11936020,2.female
338,11937010,2.female
339,11948020,2.female
340,11948030,1.male
341,11956010,2.female
342,11956040,1.male
343,11959010,1.male
344,11959020,2.female
345,11983010,2.female
346,11983040,1.male
347,11989010,1.male
348,11993010,1.male
349,11993020,2.female
350,11999010,1.male
351,11999020,2.female
352,12005010,2.female
353,12005040,1.male
354,12007010,2.female
355,12009010,2.female
356,12009040,1.male
357,12010010,2.female
358,12010020,1.male
359,12023010,1.male
360,12025010,2.female
361,12033010,1.male
362,12033011,2.female
363,12045010,1.male
364,12045011,2.female
365,12045020,2.female
366,12052010,2.female
367,12054010,2.female
368,12054020,1.male
369,12068010,1.male
370,12068020,2.female
371,12094010,1.male
372,12094011,2.female
373,12094040,2.female
374,12104010,2.female
375,12104020,1.male
376,12106010,1.male
377,12106011,2.female
378,12108010,2.female
379,12112020,1.male
380,12112030,2.female
381,12118020,2.female
382,12118030,1.male
383,12124020,1.male
384,12124030,2.female
385,12135020,2.female
386,12135030,1.male
387,12139010,1.male
388,12139040,2.female
389,12140010,1.male
390,12145010,1.male
391,12145020,2.female
392,12156010,1.male
393,12156040,2.female
394,12161010,2.female
395,12161020,1.male
396,12162010,2.female
397,12166010,1.male
398,12166040,2.female
399,12172010,2.female
400,12172020,1.male
401,12174010,2.female
402,12174040,1.male
403,12178010,2.female
404,12179010,2.female
405,12183010,1.male
406,12195010,2.female
407,12196010,2.female
408,12196020,1.male
409,12218010,1.male
410,12218020,2.female
411,12223020,2.female
412,12223030,1.male
413,12232010,1.male
414,12232040,2.female
415,12235010,1.male
416,12235040,2.female
417,12242010,1.male
418,12242020,2.female
419,12243020,1.male
420,12243030,2.female
421,12252010,1.male
422,12252020,2.female
423,12257010,1.male
424,12257040,2.female
425,12273010,2.female
426,12273040,1.male
427,12274010,1.male
428,12274020,2.female
429,12276020,2.female
430,12276030,1.male
431,12278030,1.male
432,12280020,2.female
433,12280030,1.male
434,12285010,2.female
435,12292010,2.female
436,12292020,1.male
437,12302010,1.male
438,12306010,2.female
439,12310010,1.male
440,12310011,2.female
441,12315010,1.male
442,12315040,2.female
443,12318010,2.female
444,12319010,2.female
445,12323010,2.female
446,12332030,1.male
447,12344010,1.male
448,12344020,2.female
449,12345020,2.female
450,12345030,1.male
451,12393020,2.female
452,12393030,1.male
453,12394010,2.female
454,12398010,1.male
455,12401010,1.male
456,12401040,2.female
457,12405010,1.male
458,12417010,1.male
459,12418020,2.female
460,12418030,1.male
461,12424010,2.female
462,12443010,1.male
463,12443040,2.female
464,12445010,2.female
465,12445040,1.male
466,12455010,2.female
467,12458010,1.male
468,12458020,2.female
469,12474010,1.male
470,12474040,2.female
471,12479010,1.male
472,12481010,2.female
473,12481011,2.female
474,12483010,1.male
475,12484010,2.female
476,12484020,1.male
477,12488010,1.male
478,12494010,1.male
479,12494040,2.female
480,12496010,1.male
481,12496020,2.female
482,12502010,2.female
483,12502011,1.male
484,12502020,1.male
485,12507010,2.female
486,12510010,1.male
487,12510020,2.female
488,12512010,1.male
489,12512020,2.female
490,12513010,1.male
491,12513020,2.female
492,12514010,1.male
493,12514040,2.female
494,12516010,1.male
495,12516040,2.female
496,12520010,2.female
497,12520040,1.male
498,12529020,2.female
499,12529030,1.male
500,12532010,2.female
501,12543010,2.female
502,12549010,1.male
503,12549011,2.female
504,12549040,2.female
505,12552010,2.female
506,12552020,1.male
507,12553010,1.male
508,12562010,2.female
509,12562011,1.male
510,12571010,1.male
511,12571020,2.female
512,12573010,2.female
513,12573011,1.male
514,12574010,1.male
515,12574020,2.female
516,12576010,2.female
517,12586010,1.male
518,12586020,2.female
519,12588010,2.female
520,12588020,1.male
521,12596010,1.male
522,12596040,2.female
523,12605010,1.male
524,12605040,2.female
525,12605041,1.male
526,12611010,1.male
527,12611020,2.female
528,12629010,2.female
529,12629011,1.male
530,12629040,1.male
531,12648010,2.female
532,12648040,1.male
533,12651010,2.female
534,12653010,2.female
535,12653040,1.male
536,12666010,2.female
537,12667010,1.male
538,12671010,2.female
539,12682010,2.female
540,12682011,1.male
541,12690010,1.male
542,12695020,1.male
543,12695030,2.female
544,12706010,2.female
545,12709010,1.male
546,12709020,2.female
547,12715020,1.male
548,12715030,2.female
549,12736010,2.female
550,12738010,1.male
551,12738020,2.female
552,12743010,1.male
553,12744010,1.male
554,12744011,2.female
555,12744020,2.female
556,12745010,1.male
557,12745020,2.female
558,12756010,2.female
559,12756011,1.male
560,12757010,1.male
561,12761010,1.male
562,12761040,2.female
563,12762010,2.female
564,12762020,1.male
565,12765010,1.male
566,12765020,2.female
567,12786010,1.male
568,12792010,2.female
569,12799020,1.male
570,12799030,2.female
571,12804010,2.female
572,12821010,2.female
573,12830010,2.female
574,12852020,1.male
575,12852021,2.female
576,12852030,2.female
577,12854010,2.female
