,hhidpn,r12sayret
336,11936012,1.completely retired
337,11936020,
338,11937010,1.completely retired
339,11948020,1.completely retired
340,11948030,
341,11956010,
342,11956040,
343,11959010,
344,11959020,
345,11983010,
346,11983040,1.completely retired
347,11989010,
348,11993010,1.completely retired
349,11993020,1.completely retired
350,11999010,1.completely retired
351,11999020,1.completely retired
352,12005010,2.partly retired
353,12005040,
354,12007010,
355,12009010,1.completely retired
356,12009040,0.not retired
357,12010010,
358,12010020,
359,12023010,
360,12025010,
361,12033010,1.completely retired
362,12033011,1.completely retired
363,12045010,
364,12045011,1.completely retired
365,12045020,
366,12052010,
367,12054010,
368,12054020,
369,12068010,
370,12068020,
371,12094010,1.completely retired
372,12094011,0.not retired
373,12094040,
374,12104010,1.completely retired
375,12104020,
376,12106010,
377,12106011,
378,12108010,
379,12112020,
380,12112030,1.completely retired
381,12118020,
382,12118030,
383,12124020,1.completely retired
384,12124030,2.partly retired
385,12135020,1.completely retired
386,12135030,1.completely retired
387,12139010,
388,12139040,
389,12140010,
390,12145010,
391,12145020,1.completely retired
392,12156010,
393,12156040,
394,12161010,2.partly retired
395,12161020,
396,12162010,1.completely retired
397,12166010,1.completely retired
398,12166040,1.completely retired
399,12172010,1.completely retired
400,12172020,
401,12174010,
402,12174040,
403,12178010,
404,12179010,1.completely retired
405,12183010,
406,12195010,1.completely retired
407,12196010,1.completely retired
408,12196020,2.partly retired
409,12218010,1.completely retired
410,12218020,1.completely retired
411,12223020,
412,12223030,
413,12232010,1.completely retired
414,12232040,1.completely retired
415,12235010,1.completely retired
416,12235040,1.completely retired
417,12242010,1.completely retired
418,12242020,1.completely retired
419,12243020,1.completely retired
420,12243030,1.completely retired
421,12252010,
422,12252020,
423,12257010,
424,12257040,1.completely retired
425,12273010,1.completely retired
426,12273040,1.completely retired
427,12274010,1.completely retired
428,12274020,2.partly retired
429,12276020,1.completely retired
430,12276030,1.completely retired
431,12278030,
432,12280020,1.completely retired
433,12280030,1.completely retired
434,12285010,1.completely retired
435,12292010,2.partly retired
436,12292020,1.completely retired
437,12302010,
438,12306010,
439,12310010,0.not retired
440,12310011,
441,12315010,
442,12315040,
443,12318010,1.completely retired
444,12319010,1.completely retired
445,12323010,
446,12332030,
447,12344010,2.partly retired
448,12344020,2.partly retired
449,12345020,3.question irrelevant
450,12345030,
451,12393020,2.partly retired
452,12393030,
453,12394010,1.completely retired
454,12398010,
455,12401010,
456,12401040,1.completely retired
457,12405010,
458,12417010,
459,12418020,1.completely retired
460,12418030,
461,12424010,
462,12443010,
463,12443040,1.completely retired
464,12445010,1.completely retired
465,12445040,
466,12455010,1.completely retired
467,12458010,
468,12458020,1.completely retired
469,12474010,
470,12474040,1.completely retired
471,12479010,2.partly retired
472,12481010,2.partly retired
473,12481011,0.not retired
474,12483010,
475,12484010,1.completely retired
476,12484020,1.completely retired
477,12488010,
478,12494010,
479,12494040,1.completely retired
480,12496010,
481,12496020,
482,12502010,
483,12502011,
484,12502020,
485,12507010,1.completely retired
486,12510010,1.completely retired
487,12510020,1.completely retired
488,12512010,1.completely retired
489,12512020,1.completely retired
490,12513010,
491,12513020,
492,12514010,
493,12514040,
494,12516010,1.completely retired
495,12516040,3.question irrelevant
496,12520010,
497,12520040,
498,12529020,2.partly retired
499,12529030,
500,12532010,
501,12543010,1.completely retired
502,12549010,2.partly retired
503,12549011,0.not retired
504,12549040,0.not retired
505,12552010,
506,12552020,
507,12553010,
508,12562010,2.partly retired
509,12562011,
510,12571010,
511,12571020,1.completely retired
512,12573010,2.partly retired
513,12573011,2.partly retired
514,12574010,
515,12574020,
516,12576010,
517,12586010,1.completely retired
518,12586020,1.completely retired
519,12588010,1.completely retired
520,12588020,1.completely retired
521,12596010,1.completely retired
522,12596040,1.completely retired
523,12605010,
524,12605040,1.completely retired
525,12605041,
526,12611010,1.completely retired
527,12611020,
528,12629010,
529,12629011,
530,12629040,
531,12648010,
532,12648040,1.completely retired
533,12651010,
534,12653010,
535,12653040,
536,12666010,1.completely retired
537,12667010,
538,12671010,0.not retired
539,12682010,1.completely retired
540,12682011,2.partly retired
541,12690010,
542,12695020,1.completely retired
543,12695030,0.not retired
544,12706010,
545,12709010,
546,12709020,
547,12715020,
548,12715030,1.completely retired
549,12736010,
550,12738010,0.not retired
551,12738020,3.question irrelevant
552,12743010,
553,12744010,1.completely retired
554,12744011,1.completely retired
555,12744020,
556,12745010,1.completely retired
557,12745020,1.completely retired
558,12756010,1.completely retired
559,12756011,1.completely retired
560,12757010,
561,12761010,
562,12761040,
563,12762010,
564,12762020,
565,12765010,
566,12765020,
567,12786010,0.not retired
568,12792010,1.completely retired
569,12799020,
570,12799030,
571,12804010,
572,12821010,1.completely retired
573,12830010,
574,12852020,1.completely retired
575,12852021,
576,12852030,0.not retired
577,12854010,1.completely retired
578,12864020,2.partly retired
579,12864030,
580,12887010,1.completely retired
581,12887011,
582,12909020,1.completely retired
583,12909030,
584,12920010,
585,12922010,
586,12922040,
587,12948010,
588,12964010,
589,12964040,1.completely retired
590,12967010,2.partly retired
591,12971020,
592,12971030,
593,12974010,1.completely retired
594,12974020,
595,12974021,
596,12979010,1.completely retired
597,12979020,1.completely retired
598,12981020,
599,12981030,1.completely retired
600,12981031,1.completely retired
601,12985010,
602,12985040,
603,12987010,
604,12987020,1.completely retired
605,13008010,
606,13008040,
607,13054010,
608,13054040,
609,13062010,2.partly retired
610,13062020,
611,13063010,1.completely retired
612,13085010,
613,13085020,
614,13089010,
615,13089020,
616,13137010,
617,13137020,
618,13137021,1.completely retired
619,13140010,1.completely retired
620,13140040,1.completely retired
621,13142010,
622,13142020,
623,13158010,1.completely retired
624,13176010,
625,13176020,1.completely retired
626,13189020,
627,13189030,0.not retired
628,13193010,
629,13193040,
630,13194010,2.partly retired
631,13194011,2.partly retired
632,13208010,
633,13208040,
634,13211010,1.completely retired
635,13211020,1.completely retired
636,13212010,
637,13216010,1.completely retired
638,13231010,1.completely retired
639,13231020,1.completely retired
640,13238010,
641,13238040,
642,13241010,
643,13241040,
644,13242010,
645,13257010,
646,13286010,
647,13286020,
648,13296010,1.completely retired
649,13305020,
650,13305030,2.partly retired
651,13317010,1.completely retired
652,13317040,
653,13318010,
654,13318020,1.completely retired
655,13331010,
656,13336010,
657,13336020,
658,13344010,1.completely retired
659,13344040,2.partly retired
660,13371010,1.completely retired
661,13371012,1.completely retired
662,13376010,
663,13376020,
664,13387010,
665,13387040,
666,13390010,
667,13390020,1.completely retired
668,13390021,
669,13392020,1.completely retired
670,13392030,
671,13399010,1.completely retired
672,13399040,
673,13418010,1.completely retired
674,13418020,
675,13426010,
676,13433020,
677,13433030,1.completely retired
678,13459010,
679,13465010,1.completely retired
680,13465040,0.not retired
681,13481010,
682,13483020,
683,13483030,
684,13515010,
685,13515020,
686,13518010,
687,13518040,
688,13525010,
689,13525040,
690,13527010,
691,13527020,1.completely retired
692,13532010,
693,13532020,
694,13535010,
695,13535020,
696,13547010,
697,13547020,1.completely retired
698,13552020,1.completely retired
699,13552030,1.completely retired
700,13560010,
701,13561010,
702,13561020,1.completely retired
703,13564010,
704,13564020,
705,13573010,1.completely retired
706,13573020,
707,13583020,
708,13583030,1.completely retired
709,13590030,2.partly retired
710,13590040,1.completely retired
711,13595010,
712,13595011,1.completely retired
713,13598010,
714,13598020,1.completely retired
715,13600010,1.completely retired
716,13600020,1.completely retired
