,hhidpn,r7lgmusa
357,12010010,0.0
358,12010020,0.0
359,12023010,
360,12025010,
361,12033010,0.0
362,12033011,0.0
363,12045010,
364,12045011,
365,12045020,
366,12052010,
367,12054010,
368,12054020,
369,12068010,
370,12068020,
371,12094010,4.0
372,12094011,
373,12094040,
374,12104010,0.0
375,12104020,2.0
376,12106010,1.0
377,12106011,
378,12108010,1.0
379,12112020,
380,12112030,1.0
381,12118020,
382,12118030,3.0
383,12124020,0.0
384,12124030,2.0
385,12135020,0.0
386,12135030,0.0
387,12139010,
388,12139040,
389,12140010,
390,12145010,1.0
391,12145020,2.0
392,12156010,
393,12156040,
394,12161010,0.0
395,12161020,0.0
396,12162010,1.0
397,12166010,0.0
398,12166040,0.0
399,12172010,2.0
400,12172020,1.0
401,12174010,
402,12174040,3.0
403,12178010,2.0
404,12179010,1.0
405,12183010,3.0
406,12195010,3.0
407,12196010,3.0
408,12196020,2.0
409,12218010,2.0
410,12218020,4.0
411,12223020,3.0
412,12223030,
413,12232010,2.0
414,12232040,3.0
415,12235010,0.0
416,12235040,0.0
417,12242010,0.0
418,12242020,1.0
419,12243020,0.0
420,12243030,1.0
421,12252010,
422,12252020,
423,12257010,
424,12257040,
425,12273010,0.0
426,12273040,2.0
427,12274010,2.0
428,12274020,1.0
429,12276020,2.0
430,12276030,0.0
431,12278030,
432,12280020,1.0
433,12280030,0.0
434,12285010,0.0
435,12292010,2.0
436,12292020,1.0
437,12302010,
438,12306010,
439,12310010,0.0
440,12310011,0.0
441,12315010,1.0
442,12315040,1.0
443,12318010,1.0
444,12319010,1.0
445,12323010,
446,12332030,
447,12344010,1.0
448,12344020,1.0
449,12345020,0.0
450,12345030,
451,12393020,1.0
452,12393030,2.0
453,12394010,
454,12398010,
455,12401010,
456,12401040,1.0
457,12405010,
458,12417010,2.0
459,12418020,0.0
460,12418030,3.0
461,12424010,
462,12443010,2.0
463,12443040,2.0
464,12445010,1.0
465,12445040,0.0
466,12455010,1.0
467,12458010,
468,12458020,1.0
469,12474010,
470,12474040,0.0
471,12479010,0.0
472,12481010,0.0
473,12481011,2.0
474,12483010,
475,12484010,3.0
476,12484020,3.0
477,12488010,
478,12494010,0.0
479,12494040,2.0
480,12496010,
481,12496020,0.0
482,12502010,
483,12502011,
484,12502020,
485,12507010,0.0
486,12510010,1.0
487,12510020,1.0
488,12512010,0.0
489,12512020,2.0
490,12513010,2.0
491,12513020,1.0
492,12514010,0.0
493,12514040,0.0
494,12516010,0.0
495,12516040,2.0
496,12520010,
497,12520040,0.0
498,12529020,3.0
499,12529030,1.0
500,12532010,
501,12543010,2.0
502,12549010,1.0
503,12549011,3.0
504,12549040,1.0
505,12552010,
506,12552020,
507,12553010,0.0
508,12562010,0.0
509,12562011,3.0
510,12571010,
511,12571020,0.0
512,12573010,0.0
513,12573011,3.0
514,12574010,4.0
515,12574020,2.0
516,12576010,
517,12586010,2.0
518,12586020,2.0
519,12588010,0.0
520,12588020,0.0
521,12596010,0.0
522,12596040,0.0
523,12605010,1.0
524,12605040,1.0
525,12605041,4.0
526,12611010,0.0
527,12611020,3.0
528,12629010,1.0
529,12629011,1.0
530,12629040,3.0
531,12648010,2.0
532,12648040,0.0
533,12651010,
534,12653010,1.0
535,12653040,0.0
536,12666010,0.0
537,12667010,0.0
538,12671010,0.0
539,12682010,1.0
540,12682011,
541,12690010,1.0
542,12695020,1.0
543,12695030,1.0
544,12706010,
545,12709010,
546,12709020,0.0
547,12715020,0.0
548,12715030,1.0
549,12736010,
550,12738010,3.0
551,12738020,4.0
552,12743010,4.0
553,12744010,0.0
554,12744011,
555,12744020,3.0
556,12745010,3.0
557,12745020,3.0
558,12756010,1.0
559,12756011,0.0
560,12757010,
561,12761010,
562,12761040,0.0
563,12762010,1.0
564,12762020,3.0
565,12765010,3.0
566,12765020,2.0
567,12786010,0.0
568,12792010,0.0
569,12799020,3.0
570,12799030,0.0
571,12804010,2.0
572,12821010,0.0
573,12830010,
574,12852020,0.0
575,12852021,
576,12852030,0.0
577,12854010,3.0
578,12864020,0.0
579,12864030,
580,12887010,3.0
581,12887011,
582,12909020,1.0
583,12909030,
584,12920010,2.0
585,12922010,1.0
586,12922040,
587,12948010,2.0
588,12964010,3.0
589,12964040,2.0
590,12967010,0.0
591,12971020,
592,12971030,
593,12974010,0.0
594,12974020,0.0
595,12974021,
596,12979010,0.0
597,12979020,0.0
598,12981020,
599,12981030,
600,12981031,
601,12985010,
602,12985040,1.0
603,12987010,4.0
604,12987020,2.0
605,13008010,
606,13008040,
607,13054010,
608,13054040,
609,13062010,1.0
610,13062020,
611,13063010,3.0
612,13085010,
613,13085020,
614,13089010,
615,13089020,
616,13137010,
617,13137020,1.0
618,13137021,4.0
619,13140010,0.0
620,13140040,0.0
621,13142010,0.0
622,13142020,0.0
623,13158010,4.0
624,13176010,4.0
625,13176020,0.0
626,13189020,0.0
627,13189030,0.0
628,13193010,
629,13193040,
630,13194010,0.0
631,13194011,0.0
632,13208010,0.0
633,13208040,0.0
634,13211010,1.0
635,13211020,0.0
636,13212010,0.0
637,13216010,0.0
638,13231010,3.0
639,13231020,2.0
640,13238010,0.0
641,13238040,
642,13241010,
643,13241040,
644,13242010,1.0
645,13257010,4.0
646,13286010,1.0
647,13286020,1.0
648,13296010,2.0
649,13305020,4.0
650,13305030,0.0
651,13317010,3.0
652,13317040,0.0
653,13318010,3.0
654,13318020,0.0
655,13331010,
656,13336010,
657,13336020,
658,13344010,0.0
659,13344040,0.0
660,13371010,0.0
661,13371012,
662,13376010,0.0
663,13376020,0.0
664,13387010,
665,13387040,4.0
666,13390010,
667,13390020,4.0
668,13390021,3.0
669,13392020,0.0
670,13392030,
671,13399010,0.0
672,13399040,
673,13418010,4.0
674,13418020,
675,13426010,
676,13433020,
677,13433030,2.0
678,13459010,
679,13465010,2.0
680,13465040,1.0
681,13481010,
682,13483020,
683,13483030,
684,13515010,
685,13515020,
686,13518010,0.0
687,13518040,0.0
688,13525010,
689,13525040,
690,13527010,
691,13527020,1.0
692,13532010,
693,13532020,
694,13535010,
695,13535020,
696,13547010,0.0
697,13547020,2.0
698,13552020,1.0
699,13552030,0.0
700,13560010,1.0
701,13561010,0.0
702,13561020,2.0
703,13564010,
704,13564020,
705,13573010,0.0
706,13573020,0.0
707,13583020,0.0
708,13583030,0.0
709,13590030,0.0
710,13590040,2.0
711,13595010,
712,13595011,4.0
713,13598010,3.0
714,13598020,2.0
715,13600010,2.0
716,13600020,1.0
717,13601010,
718,13601040,0.0
719,13602020,
720,13602030,
721,13612010,1.0
722,13631010,1.0
723,13631020,3.0
724,13635010,0.0
725,13635020,0.0
726,13637010,0.0
727,13637040,0.0
728,13644010,
729,13652010,
730,13656010,1.0
731,13656040,4.0
732,13671010,1.0
733,13671020,0.0
734,13678010,2.0
735,13678040,2.0
736,13699010,0.0
737,13699040,0.0
738,13706010,
739,13734010,1.0
740,13734020,3.0
741,13738010,3.0
742,13738020,1.0
743,13753010,0.0
744,13753020,0.0
745,13757020,
746,13757030,0.0
747,13772020,0.0
748,13772030,3.0
749,13784010,0.0
750,13784040,0.0
751,13794020,1.0
752,13794030,
753,13798010,
754,13798020,
755,13802010,
756,13802020,2.0
757,13808010,0.0
758,13808011,
759,13813010,1.0
760,13813020,
761,13814010,0.0
762,13814040,2.0
763,13815010,4.0
764,13816010,0.0
765,13816040,2.0
766,13817010,0.0
767,13817011,1.0
768,13817040,0.0
769,13817041,3.0
770,13820010,2.0
771,13820020,3.0
772,13857010,1.0
773,13857020,3.0
774,13858020,0.0
775,13858030,3.0
776,13860010,
777,13860040,
778,13891010,
779,13894010,0.0
780,13894011,
781,13894040,
782,13897010,2.0
783,13899010,0.0
784,13899040,0.0
785,13899041,0.0
786,13902010,0.0
787,13902020,0.0
788,13912010,0.0
789,13912020,2.0
790,13915010,0.0
791,13915011,0.0
792,13916010,2.0
793,13916040,2.0
794,13965010,0.0
795,13965020,4.0
796,13974010,0.0
797,14008010,4.0
798,14024020,2.0
799,14024030,4.0
800,14028010,1.0
801,14028020,0.0
802,14033010,0.0
803,14036010,0.0
804,14036040,1.0
805,14038010,
806,14043010,0.0
807,14043020,0.0
808,14063010,1.0
809,14063020,0.0
810,14069010,1.0
811,14069020,4.0
812,14072010,0.0
813,14072040,3.0
814,14080020,3.0
815,14080030,3.0
816,14081010,2.0
817,14081040,1.0
818,14085010,0.0
819,14092010,0.0
820,14092040,0.0
821,14098010,0.0
822,14098020,
823,14104010,3.0
824,14104020,2.0
825,14115020,0.0
826,14115021,
827,14115030,
828,14121010,2.0
829,14129010,
830,14129020,3.0
831,14136010,1.0
832,14136040,2.0
833,14137010,2.0
834,14137020,0.0
835,14147010,0.0
836,14147040,2.0
837,14149020,0.0
838,14149030,0.0
839,14157010,3.0
840,14157040,4.0
841,14159020,
842,14159030,1.0
843,14167010,0.0
844,14167040,0.0
845,14179010,0.0
846,14179040,3.0
847,14180010,
848,14180020,
849,14188020,1.0
850,14188030,1.0
851,14193010,
852,14193040,
853,14199010,
854,14199020,
